split,internal_grade,n_loans,default_rate,avg_pd,min_pd,max_pd,avg_loan_amnt,avg_int_rate
train,AAA,15823,0.03981545850976427,0.05381448829829995,0.016728075,0.067722805,12179.667256525312,8.646563862731465
train,AA,39593,0.07319475664890258,0.08697752237105043,0.06772568,0.103524685,12959.056525143333,10.652208723764302
train,A,53997,0.1174324499509232,0.12387882328262681,0.10352756,0.14459036,13029.20764116525,12.161825656980943
train,BBB,55544,0.16505833213308369,0.1684353418423232,0.1445935,0.1948319,13129.913672043785,13.399071546881752
train,BB,35738,0.22225642173596732,0.2159635658685433,0.19483273,0.23994873,13834.148525379149,14.535588729083889
train,B,32407,0.27765606196192183,0.2691304768494461,0.23994996,0.3040265,15308.238189280093,15.689630018205943
train,CCC,25222,0.35992387598128617,0.34435408100705733,0.30403447,0.3957004,17304.347395131233,17.21032709539291
train,D,18897,0.4929353865692967,0.47187844894216013,0.39570543,0.82553184,18319.794147219134,18.964931999788327
valid,AAA,3358,0.038117927337701016,0.053930777614055986,0.021245528,0.06771906,12159.11256700417,8.580202501488982
valid,AA,8516,0.07902771254109911,0.08693193063680131,0.06772987,0.10352342,12821.471348050729,10.687922733677784
valid,A,11555,0.12228472522717439,0.12391706676763306,0.10352933,0.14459151,13060.876244050194,12.230712245781048
valid,BBB,12028,0.16769205187894912,0.1683900616827403,0.14459455,0.1948268,13248.042068506817,13.393160126371798
valid,BB,7620,0.2232283464566929,0.21611926982939633,0.19483739,0.2399458,13801.14501312336,14.525196850393701
valid,B,6887,0.27123566139102656,0.26944566192972264,0.23995212,0.3040295,15238.674313924786,15.625719471467983
valid,CCC,5472,0.3574561403508772,0.3442173583826754,0.30403456,0.39570314,17454.52302631579,17.25075475146199
valid,D,3968,0.47757056451612906,0.47214566567036287,0.39570525,0.7473527,18454.693800403227,18.949816028225804
test,AAA,3415,0.04187408491947291,0.05410904368169839,0.017098079,0.06771641,12087.174231332358,8.711534407027818
test,AA,8488,0.07775683317624882,0.08711443739538172,0.0677347,0.10352473,12800.762841658812,10.699895146088597
test,A,11518,0.12354575447126237,0.12391473373745442,0.103527404,0.1445747,13079.46692134051,12.234843722868552
test,BBB,11905,0.16606467870642588,0.16866429736749264,0.14459534,0.19482808,13281.62536749265,13.379833683326334
test,BB,7727,0.21703118933609422,0.21578811969975412,0.19483377,0.23994078,13900.126180924033,14.547354730166948
test,B,6987,0.2779447545441534,0.2690366461585802,0.23995118,0.3040257,15184.45327035924,15.703908687562615
test,CCC,5333,0.3530845677854866,0.34449412729420587,0.30405486,0.39569587,17418.305831614474,17.207479842490155
test,D,4032,0.4826388888888889,0.47175986609623016,0.39574587,0.7678783,18235.565476190477,19.0740873015873
