column,dtype,missing_count,missing_pct
mort_acc,float64,37795,9.543468929121532
emp_length_num,float64,18301,4.621114562028129
pub_rec_bankruptcies,float64,535,0.13509077595131683
revol_util_capped,float64,276,0.06969169002348306
term_months,float64,0,0.0
dti_capped,float64,0,0.0
annual_inc_log,float64,0,0.0
open_acc,float64,0,0.0
emp_length_missing,int64,0,0.0
pub_rec,float64,0,0.0
revol_bal_log,float64,0,0.0
loan_amnt,float64,0,0.0
default_flag,int64,0,0.0
total_acc,float64,0,0.0
revol_util_missing,int64,0,0.0
mort_acc_missing,int64,0,0.0
pub_rec_bankruptcies_missing,int64,0,0.0
credit_history_length_capped,float64,0,0.0
home_ownership,object,0,0.0
verification_status,object,0,0.0
purpose,object,0,0.0
initial_list_status,object,0,0.0
application_type,object,0,0.0
loan_status,object,0,0.0
grade,object,0,0.0
sub_grade,object,0,0.0
int_rate,float64,0,0.0
installment,float64,0,0.0
issue_date,datetime64[ns],0,0.0
